"Question","Option_A","Option_B","Option_C","Option_D","Correct_Option","Explanation"
"Corrosion is an example of","oxidatioin","reduction","electrolysis","halogenation","A","Corrosion fundamentally involves a metal atom losing electrons to form a positive ion ($M \rightarrow M^{n+} + ne^-$), which is the definition of chemical oxidation."
"The chemical composition of rust is ____","$Fe_2O_3$","$Fe_2O_4$","$Fe_2O_3 \cdot xH_2O$","$Fe_2O_3 \cdot nH_2O$","D","Rust contains a variable amount of water of crystallization depending on environmental conditions, perfectly represented as $Fe_2O_3 \cdot nH_2O$."
"Chemically the rust is","$Fe_2O_3$","$Fe_2O_3, FeO$","$Fe_2O_3 \times H_2O$","$Fe_2O_3 \cdot NH_3$","C","While standard notation is a dot, $Fe_2O_3 \times H_2O$ correctly identifies the compound as hydrated iron(III) oxide among the given choices."
"Statement a: Pure metal resists corrosion Statement b: Electro chemical theory of corrosion of metal is done in dry environment Choose the correct option from the following :","Both the statements are correct","Both the statements are incorrect","Statement 'a' is incorrect, 'b' is correct","Statement 'a' is correct, 'b' is incorrect","D","Statement 'a' is correct because pure metals lack the internal impurities necessary to form microscopic galvanic cells. Statement 'b' is incorrect because electrochemical corrosion strictly requires a liquid electrolyte (wet environment)."
"In sacrificial anodic protection method the metal that saves steel pipes from corrosion is","Copper","Magnesium","Gold","Cadmium","B","Magnesium ($Mg$) has a standard oxidation potential significantly higher than iron, ensuring it will readily sacrifice itself to protect the steel (iron) pipes."
"Match the following (i) $CO_2, SO_2$ gases with humidity (a) pH=11 (ii) Zn corrodes maximum (b) pH=5.5 (iii) Al corrodes minimum (c) Galvanic corrosion (iv) Zn corrodes minimum (d) pH>11 Choose the correct option from the following:","i-c, ii-b, iii-d, iv-a","i-c, ii-a, iii-d, iv-b","i-c, ii-d, iii-b, iv-a","i-c, ii-b, iii-a, iv-d","C","Acidic gases cause galvanic wet corrosion (i-c). Zinc is amphoteric and corrodes heavily in highly alkaline conditions (ii-d). Aluminum's passive layer is stable around pH 5.5 (iii-b). Zinc is stable at moderate alkalinity (iv-a)."
"Which of the following is a primary factor influencing on rate of corrosion","pH","Temperature","Polarization of electrode","Nature of the metal","D","While pH and temperature affect the rate, the fundamental determining factor of whether and how fast a metal will corrode is its intrinsic nature (its position in the electrochemical series and its passivity)."
"Formation of rust on iron is an example of","Chemical corrosion","Electrochemical corrosion","Liquid metal corrosion","Galvanic corrosion","B","Rusting requires moisture to act as an electrolyte connecting separate anodic and cathodic micro-regions on the iron surface, defining it as electrochemical (wet) corrosion."
"Impressed voltage method is an example of","Cathodic protection","Anodic protection","Metal coating","Organic coating","A","By using a DC power source to impress a voltage, electrons are forced into the metal structure, shifting its potential into the cathodic region and preventing oxidation."
"Chemically the rust is","$Fe_2O_3$","$Fe_2O_3 \cdot FeO$","$Fe_2O_3 \cdot XH_2O$","$Fe_2O_3 \cdot NH_3$","C","Rust is formed when iron(II) hydroxide is further oxidized to iron(III) oxide, which binds with water to form hydrated ferric oxide ($Fe_2O_3 \cdot XH_2O$)."
"The gradual loss of a metal by chemical or electrochemical action of environment is called","Corrosion","Caustic embrittlement","Priming","Foaming","A","This is the standard scientific definition of metallic corrosion."
"The metal oxide film that can easily undergo corrosion is","Stable","Porous","Volatile","Unstable","B","A porous oxide film fails to act as a barrier. Oxygen and moisture can easily diffuse through the pores to reach the underlying metal, allowing continuous corrosion."
"In galvamised articles, which metal protects the base metal?","Fe","Cu","Zn","Pb","C","Galvanization involves creating a metallurgical bond between steel/iron and a protective surface layer of Zinc ($Zn$)."
"Which of the following does not corrode when exposed to air?","Cu","Al","Ag","Fe","B","Aluminum ($Al$) rapidly reacts with atmospheric oxygen to form a thin, highly continuous, and impermeable passive layer of aluminum oxide ($Al_2O_3$), which completely halts further bulk corrosion."
"Which metals from the following can provide cathodic protection to Iron?","Zn and Cu","Al and Cu","Al and Ni","Al and Zn","D","Both Aluminum ($Al$) and Zinc ($Zn$) are more reactive (higher in the galvanic series) than Iron ($Fe$), allowing them to function effectively as sacrificial anodes."
"In the protection of Iron structure by sacrificial anode method, the metal used as anode","Silver","Zinc","Magnesium","Lead","C","Magnesium ($Mg$) provides an excellent driving voltage for cathodic protection due to its high electrochemical reactivity relative to iron."
"Corrosion is an example of","Oxidation","Reduction","Electrolysis","Hydrolysis","A","During corrosion, the metal lattice breaks down as neutral metal atoms lose electrons to form positive ions (e.g., $M \rightarrow M^{n+} + ne^-$), which is oxidation."
"In electrochemical corrosion. if the formed corrosion product is insoluble in the medium then the corrosion rate further.....","Increases","Decreases","Partially increases","No change","B","An insoluble corrosion product precipitates directly onto the metal surface, forming a passivating barrier layer that blocks the electrolyte from reacting with the metal, thus decreasing the corrosion rate."
".......is resulted when electrochemical corrosion happened in acidic environment.","Evolution of oxygen","Absorption of oxygen","Evolution of hydrogen","Absoiption of hydrogen","C","In acidic solutions lacking dissolved oxygen, the dominant cathodic reduction reaction is the conversion of hydrogen ions into hydrogen gas ($2H^+ + 2e^- \rightarrow H_2 \uparrow$)."
"Impure metal corrodes faster than pure metal due to","Heterogeneity","Homogeneity","Non-galvanic cell","localize corrosion","A","Impurities cause structural and chemical heterogeneity. These differing phases act as distinct micro-anodes and micro-cathodes, establishing countless local galvanic cells that accelerate the corrosion rate."
"Among the following metals, which easily undergoes corrosion is","Au","Na","Cu","Pt","B","Sodium ($Na$) is an alkali metal with a remarkably low ionization energy. It violently oxidizes upon contact with atmospheric moisture and oxygen, undergoing immediate corrosion."
"Which of the following is an example for Cathodic Coating","Zn coating on Fe","Al coating on Fe","Ba coating on Fe","Sn coating Fe","D","Tin ($Sn$) has a lower oxidation potential than Iron ($Fe$). Therefore, the tin coating acts as the cathode, while the underlying iron acts as the anode. This is a cathodic coating."
"Rate of corrosion increases with","decrease of temperature","decrease of humidity","reactivity of metal","purity of metal","C","The more chemically reactive a metal is (higher standard oxidation potential), the stronger its thermodynamic driving force to lose electrons and corrode."
"Chemical formula of the rust is","$Fe_2O_3, XH_2O$","$Fe_3O_4$","$Fe_2(C_2O_4)_3$","$FeCl_3$","A","Rust is the generic name for hydrated iron(III) oxide, formulated chemically as $Fe_2O_3 \cdot xH_2O$."
"Electrochemical corrosion in acidic environment is carried with","Evolution of oxygen","Absorption of oxygen","Evolution of hydrogen","Absorption of hydrogen","C","In an acidic medium with low oxygen, the cathodic reaction reduces hydrogen ions to form hydrogen gas bubbles ($2H^+ + 2e^- \rightarrow H_2$)."
"Which of the following metal oxide film is protective from corrosion","Porous","Non-porous","Volatile","Unstable","B","A non-porous (continuous and adherent) oxide layer completely shields the underlying metal lattice from the corrosive electrolyte, providing excellent passivity."
"The rate of corrosion is high if","Anodic areas are small and cathode areas are large","Anodic areas are large and cathodic areas are small","Both anodic and cathodic areas are large","Does not depend upon the area of anode and cathode","A","When a large cathode demands electrons from a small anode, the anodic current density becomes extremely high. This causes intense, rapid localized corrosion (like pitting) at the small anode."
"In electroplating, the metal to be coated or electroplated is made of","Anode","Cathode","Both anode and cathode","Inert metal","B","Electroplating relies on the reduction of metal cations from the solution into solid metal ($M^{n+} + ne^- \rightarrow M$). Since reduction occurs at the cathode, the target object must be the cathode."
"Tinning is done by:","Electroplating","Spraying","Hot dipping","Cementation","C","Tinning is traditionally achieved via hot dipping, where the clean base metal is completely immersed in a vat of molten tin."
"If the oxygen supply is limited during the rusting of iron, corrosion product is:","$Fe_2O_3$","$Fe_2O_3 \cdot xH_2O$","$Fe_2O_3 \cdot 2H_2O$","$Fe_3O_4$","D","When oxygen is restricted, iron oxidizes incompletely to form a mixture of iron(II) and iron(III) oxides, resulting in black magnetite ($Fe_3O_4$) instead of red-brown $Fe_2O_3$."
"Which of the following two metals are corrosion resistant","Iron and Nickel","Nickel and Copper","Copper and Molybdenum","Iron and Molybdenum","B","Both Nickel and Copper are relatively noble (low oxidation potentials). Furthermore, they can form stable, adherent oxide/hydroxide films that impart strong corrosion resistance."
"The coating which protects the base metal 'sacrificially' is","Metallic coating","Anodic coating","Metal oxide coating","Phosphate coating","B","An anodic coating is made of a metal more electrochemically active than the substrate. It protects the substrate by sacrificing itself (corroding preferentially as the anode)."
"During electro chemical corrosion in acidic environment","Hydrogen evolution takes place","Oxygen evolution takes place","Oxygen absorption occurs","Hydrogen absorption takes place","A","The abundance of $H^+$ in acidic solutions makes the reduction of $H^+$ to $H_2$ gas the thermodynamically favored cathodic reaction."
"The process of coating of iron with Zinc metal is known as","Galvanizing","Sherardizing","Zincing","Tinning","A","Galvanizing is the precise industrial terminology for shielding iron or steel by applying a Zinc coating."
"Which of the following statements is not correct about stress cells?","They are formed between different parts of the same metal","Stressed part of the metal acts as cathode","Stressed part of the metal acts as anode","Anodic part undergoes corrosion","B","Mechanical stress increases the internal energy of the metal lattice. The high-energy stressed region becomes the ANODE, not the cathode, and corrodes preferentially."
"Tarnishing of silver is due to the formation of","$AgCl$","$Ag_2CO_3$","$Ag_2O$","$Ag_2S$","D","Silver is immune to atmospheric oxygen but reacts strongly with trace hydrogen sulfide ($H_2S$) in the air to form a black surface layer of silver sulfide ($Ag_2S$)."
"Corrosion is","A chemical process","An electrical process","An electrochemical process","A physical process","C","Corrosion is an electrochemical process because it involves localized anodic (oxidation) and cathodic (reduction) half-reactions mediated by electron flow and ion transport in an electrolyte."
"Galvanization is applying a coating of","Zn","Pb","Cr","Cu","A","Galvanization specifically utilizes Zinc ($Zn$) to provide both barrier and sacrificial cathodic protection to steel."
"During electrochemical corrosion in acidic environment","Oxygen evolution occurs","Hydrogen evolution takes place","Oxygen absorption occurs","Hydrogen absorption takes place","B","In acidic media, the predominant cathodic reaction consumes electrons to reduce $H^+$ ions, evolving hydrogen gas ($H_2$)."
"The process of cementation of iron with zinc powder is known as","Sheradising","Galvanizing","Zincing","Tinning","A","Sherardizing is a dry diffusion process where iron parts are tumbled with zinc dust at high temperatures, creating a zinc-iron alloy coating."
"The cell formed in bent pipes is an example of","Concentration cell","Composition cell","Stress cell","Electrolytic cell","C","Bending induces localized plastic deformation. The bent (stressed) area has higher energy and becomes anodic relative to the straight (unstressed) cathodic area, forming a stress galvanic cell."
"Tarnishing of silver is due to formation of","Its sulphate layer","Its nitrate layer","Its sulphide layer","Its chloride layer","C","Tarnish on silver is a thin layer of silver sulfide ($Ag_2S$) formed by exposure to sulfurous compounds in the atmosphere."
"Statement I: The lower the pH greater is the corrosion Statement II: Electrochemical corrosion always occurs at the anodic area. The correct answer is","Both Statement -I and statement -II are correct","Both Statement -I and statement -II are not correct","Statement -I is correct but statement -II is not correct","Statement -I is not correct but statement -II is correct","A","Low pH means high $H^+$ concentration, accelerating the cathodic half-reaction and increasing corrosion (Statement I is true). Oxidation, which is the physical dissolution of metal, definitionally occurs at the anode (Statement II is true)."
"Rust is chemically","Hydrated Ferric Oxide","Hydrated Copper (II) Chloride","Hydrated Ferrous Sulphate","Hydrated Ferric Sulphate","A","Rust is chemically defined as hydrated iron(III) oxide, which is alternatively named hydrated ferric oxide ($Fe_2O_3 \cdot xH_2O$)."
"_____ combinations is used for prevention of corrosion.","Phosphorous or Antimony","Phosphorous or Chlorine","Antimony or Nitrogen","Antimony or sodium","A","Small additions of Phosphorus ($P$) or Antimony ($Sb$) are utilized in certain alloys (like naval brass) as inhibitors to prevent localized corrosion like dezincification."
"The process of coating zinc metal over iron to improve corrosion resistance of iron is called","Electroplating","Annealing","Galvanizing","Tinning","C","Galvanizing is the standard term for protecting iron by coating it with a layer of zinc, typically through hot-dipping."
